"year","mes","nacimientos"
2018,"Enero",6712
2018,"Febrero",5132
2018,"Marzo",5651
2018,"Abril",5800
2018,"Mayo",5956
2018,"Junio",5592
2018,"Julio",5707
2018,"Agosto",6034
2018,"Septiembre",5149
2017,"Enero",6702
2017,"Febrero",4654
2017,"Marzo",6353
2017,"Abril",5433
2017,"Mayo",6611
2017,"Junio",6170
2017,"Julio",5589
2017,"Agosto",6205
2017,"Septiembre",5283
2017,"Octubre",5902
2017,"Noviembre",4860
2017,"Diciembre",4253
2016,"Enero",6941
2016,"Febrero",6182
2016,"Marzo",6566
2016,"Abril",6119
2016,"Mayo",6410
2016,"Junio",6182
2016,"Julio",6055
2016,"Agosto",6129
2016,"Septiembre",6813
2016,"Octubre",5904
2016,"Noviembre",6611
2016,"Diciembre",5504
2015,"Enero",7743
2015,"Febrero",6421
2015,"Marzo",6640
2015,"Abril",7202
2015,"Mayo",6581
2015,"Junio",7048
2015,"Julio",7090
2015,"Agosto",6165
2015,"Septiembre",6054
2015,"Octubre",6597
2015,"Noviembre",6733
2015,"Diciembre",5607
2014,"Enero",8280
2014,"Febrero",6997
2014,"Marzo",6245
2014,"Abril",6545
2014,"Mayo",7217
2014,"Junio",6230
2014,"Julio",6630
2014,"Agosto",6714
2014,"Septiembre",7135
2014,"Octubre",6814
2014,"Noviembre",5827
2014,"Diciembre",6042
2013,"Enero",6152
2013,"Febrero",5774
2013,"Marzo",7585
2013,"Abril",8413
2013,"Mayo",8234
2013,"Junio",6428
2013,"Julio",7235
2013,"Agosto",6848
2013,"Septiembre",6390
2013,"Octubre",7446
2013,"Noviembre",6435
2013,"Diciembre",5441
2012,"Enero",5681
2012,"Febrero",5512
2012,"Marzo",8228
2012,"Abril",6805
2012,"Mayo",8085
2012,"Junio",6968
2012,"Julio",7220
2012,"Agosto",7102
2012,"Septiembre",6214
2012,"Octubre",7562
2012,"Noviembre",6566
2012,"Diciembre",5585
2011,"Enero",6180
2011,"Febrero",6395
2011,"Marzo",7995
2011,"Abril",7845
2011,"Mayo",8201
2011,"Junio",7338
2011,"Julio",6949
2011,"Agosto",7050
2011,"Septiembre",7285
2011,"Octubre",6612
2011,"Noviembre",6504
2011,"Diciembre",6401
2010,"Enero",6870
2010,"Febrero",6103
2010,"Marzo",8763
2010,"Abril",7887
2010,"Mayo",7270
2010,"Junio",7678
2010,"Julio",7240
2010,"Agosto",7423
2010,"Septiembre",7325
2010,"Octubre",6226
2010,"Noviembre",6895
2010,"Diciembre",6488
2009,"Enero",7687
2009,"Febrero",6370
2009,"Marzo",7480
2009,"Abril",6957
2009,"Mayo",6670
2009,"Junio",7083
2009,"Julio",6976
2009,"Agosto",7032
2009,"Septiembre",7188
2009,"Octubre",7059
2009,"Noviembre",6965
2009,"Diciembre",6471
2008,"Enero",7885
2008,"Febrero",6989
2008,"Marzo",6791
2008,"Abril",7906
2008,"Mayo",7396
2008,"Junio",7029
2008,"Julio",7144
2008,"Agosto",6539
2008,"Septiembre",7377
2008,"Octubre",7663
2008,"Noviembre",6649
2008,"Diciembre",6746
2007,"Enero",7692
2007,"Febrero",6431
2007,"Marzo",7379
2007,"Abril",6535
2007,"Mayo",6879
2007,"Junio",6734
2007,"Julio",6539
2007,"Agosto",6363
2007,"Septiembre",5985
2007,"Octubre",6871
2007,"Noviembre",7076
2007,"Diciembre",6135
2006,"Enero",7321
2006,"Febrero",5848
2006,"Marzo",7460
2006,"Abril",6415
2006,"Mayo",7204
2006,"Junio",6551
2006,"Julio",6495
2006,"Agosto",6801
2006,"Septiembre",6589
2006,"Octubre",6733
2006,"Noviembre",6852
2006,"Diciembre",6009
2005,"Enero",1232
2005,"Febrero",9396
2005,"Marzo",7344
2005,"Abril",7195
2005,"Mayo",7087
2005,"Junio",6768
2005,"Julio",6364
2005,"Agosto",7192
2005,"Septiembre",6744
2005,"Octubre",6425
2005,"Noviembre",7150
2005,"Diciembre",5883
2004,"Enero",6643
2004,"Febrero",6136
2004,"Marzo",7269
2004,"Abril",6482
2004,"Mayo",6375
2004,"Junio",6635
2004,"Julio",6146
2004,"Agosto",7186
2004,"Septiembre",6799
2004,"Octubre",6535
2004,"Noviembre",7004
2004,"Diciembre",6872
