"country","id","first_name","last_name","birth","year","month","day","position"
"ARG",584,"Julián","SPERONI","1979-05-18",1979,5,18,"GK"
"ARG",1353,"Juan Carlos","RAPONI","1980-05-07",1980,5,7,"M(L)"
"ARG",1752,"Julio","ARCA","1981-01-31",1981,1,31,"M(LC)"
"ARG",2324,"Lucas","RIMOLDI","1980-08-07",1980,8,7,"DM,M(C)"
"ARG",2341,"Nicolás","BURDISSO","1981-04-12",1981,4,12,"D(RC)"
"ARG",2395,"Leonardo","TALAMONTI","1981-11-12",1981,11,12,"D(C)"
"ARG",2510,"Mariano","GONZÁLEZ","1981-05-05",1981,5,5,"AM(RLC)"
"ARG",2514,"Mario","SANTANA","1981-12-25",1981,12,25,"AM(RLC),F(RL)"
"ARG",2565,"Leandro","CUFRÉ","1978-05-09",1978,5,9,"D(RLC)"
"ARG",2638,"Carlos","MARINELLI","1982-03-14",1982,3,14,"AM(LC)"
"ARG",2739,"Maxi","RODRÍGUEZ","1981-01-02",1981,1,2,"AM(RLC),F(RL)"
"ARG",2772,"Lionel","MESSI","1987-06-24",1987,6,24,"AM,F(RLC)"
"ARG",2780,"Maxi","LÓPEZ","1984-04-03",1984,4,3,"F(C)"
"ARG",2806,"Fabricio","COLOCCINI","1982-01-22",1982,1,22,"D(C)"
"ARG",2836,"Pablo","ZABALETA","1985-01-16",1985,1,16,"D,DM(R)"
"ARG",2991,"Pablo","AIMAR","1979-11-03",1979,11,3,"AM(C)"
"ARG",3003,"Mariano","BARBOSA","1984-07-27",1984,7,27,"GK"
"ARG",3004,"Gonzalo","RODRÍGUEZ","1984-04-10",1984,4,10,"D(C)"
"ARG",3036,"Leonardo","PONZIO","1982-01-29",1982,1,29,"D(R),DM,M(RC)"
"ARG",3094,"Mauro","ROSALES","1980-10-02",1980,10,2,"M(C),AM(RLC)"
"ARG",3192,"Osmar","FERREYRA","1983-01-09",1983,1,9,"D,DM(L),M(LC)"
"ARG",3314,"Lucho","GONZÁLEZ","1981-01-19",1981,1,19,"M,AM(C)"
"ARG",3331,"Lisandro","LÓPEZ","1983-03-02",1983,3,2,"AM(RL),F(RLC)"
"ARG",3421,"Clemente","RODRÍGUEZ","1981-07-31",1981,7,31,"D,DM(RL)"
"ARG",3459,"Pablo","JÉREZ","1983-07-26",1983,7,26,"D,DM,M(R)"
"ARG",3464,"Neri","CARDOZO","1986-08-08",1986,8,8,"AM(RLC),F(RL)"
"ARG",3465,"Matías","SILVESTRE","1984-09-25",1984,9,25,"D(C)"
"ARG",3466,"Óscar","SCARIONE","1985-07-14",1985,7,14,"M(C),AM(RLC)"
"ARG",3467,"Fernando","GAGO","1986-04-10",1986,4,10,"DM,M(C)"
"ARG",3472,"Rodrigo","PALACIO","1982-02-05",1982,2,5,"AM,F(RLC)"
"ARG",3476,"Damián","ALBIL","1979-12-09",1979,12,9,"GK"
"ARG",3480,"Marcos","ANGELERI","1982-08-30",1982,8,30,"D(RC)"
"ARG",3483,"Marcelo","CARRUSCA","1983-09-01",1983,9,1,"M(C),AM(LC)"
"ARG",3484,"Adrián","BASTÍA","1978-12-20",1978,12,20,"DM,M(C)"
"ARG",3486,"José","SOSA","1985-06-19",1985,6,19,"M(C),AM(RLC)"
"ARG",3488,"Mariano","PAVONE","1982-05-27",1982,5,27,"F(C)"
"ARG",3489,"Eloy","COLOMBANO","1983-06-15",1983,6,15,"AM(C),F(RLC)"
"ARG",3495,"David","ABRAHAM","1986-07-15",1986,7,15,"D(C)"
"ARG",3498,"Carlos","MATHEU","1985-05-13",1985,5,13,"D(RC)"
"ARG",3502,"Juan","ELUCHANS","1980-04-14",1980,4,14,"D,DM,M(L)"
"ARG",3503,"Lucas","BIGLIA","1986-01-30",1986,1,30,"DM,M(C)"
"ARG",3506,"Fernando","LOREFICE","1983-05-12",1983,5,12,"M(RC)"
"ARG",3511,"Franco","CÁNGELE","1984-07-16",1984,7,16,"AM,F(RLC)"
"ARG",3513,"Sergio","AGÜERO","1988-06-02",1988,6,2,"F(C)"
"ARG",3515,"Ezequiel","GARAY","1986-10-10",1986,10,10,"D(C)"
"ARG",3516,"Nicolás","SPOLLI","1983-02-20",1983,2,20,"D(C)"
"ARG",3517,"Germán","RÉ","1981-11-02",1981,11,2,"D(RLC)"
"ARG",3518,"Leandro","FERNÁNDEZ","1983-01-30",1983,1,30,"D(RC)"
"ARG",3520,"Gastón","AGUIRRE","1981-11-11",1981,11,11,"D(RC)"
"ARG",3522,"Luciano","VELLA","1981-04-13",1981,4,13,"D,DM,M(R)"
"ARG",3523,"Fernando","BELLUSCHI","1983-09-10",1983,9,10,"M,AM(C)"
"ARG",3525,"Damián","MANSO","1979-06-06",1979,6,6,"AM(LC)"
"ARG",3527,"Mauro","CEJAS","1985-08-24",1985,8,24,"AM(RLC),F(RL)"
"ARG",3529,"Gustavo","RODAS","1986-01-16",1986,1,16,"AM(C)"
"ARG",3531,"Iván","BORGHELLO","1983-01-21",1983,1,21,"F(C)"
"ARG",3532,"Damián","STEINERT","1986-02-25",1986,2,25,"AM(RL),F(RLC)"
"ARG",3534,"Ignacio","SCOCCO","1985-05-29",1985,5,29,"AM(C),F(RLC)"
"ARG",3538,"Gustavo","CABRAL","1985-10-14",1985,10,14,"D(C)"
"ARG",3542,"Osvaldo","BARSOTTINI","1981-08-23",1981,8,23,"D(C)"
"ARG",3543,"Martín","VITALI","1975-11-11",1975,11,11,"D,DM,M(R)"
"ARG",3544,"Diego","BARRADO","1981-02-27",1981,2,27,"M(RC)"
"ARG",3548,"Chaco","TORRES","1985-06-20",1985,6,20,"DM,M(C)"
"ARG",3552,"Sebastián","ROMERO","1978-04-27",1978,4,27,"AM(RLC)"
"ARG",3553,"Sebastián","PENCO","1983-09-22",1983,9,22,"F(C)"
"ARG",3556,"Franco","COSTANZO","1980-09-05",1980,9,5,"GK"
"ARG",3557,"Germán","LUX","1982-06-07",1982,6,7,"GK"
"ARG",3559,"Lucas","MAREQUE","1983-01-12",1983,1,12,"D,DM,M(L)"
"ARG",3565,"Javier","GANDOLFI","1980-12-05",1980,12,5,"D(RC)"
