"diputado_id","diputado_apellido","diputado_nombre","diputado_genero","diputado_distrito","mandato_inicio","mandato_fin","diputado_juramento","diputado_cese","diputado_bloque","bloque_inicio","bloque_fin"
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE CIVICO POR SANTIAGO",2009-12-10,2013-12-09
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"FRENTE CIVICO POR SANTIAGO",2013-12-10,2017-12-09
"HCDN1136","ABDALA DE MATARAZZO","NORMA AMANDA","F","SANTIAGO DEL ESTERO",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FRENTE CIVICO POR SANTIAGO",2017-12-10,2021-12-09
"HCDN1382","ABRAHAM","ALEJANDRO","M","MENDOZA",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"FRENTE PARA LA VICTORIA - PJ",2013-12-13,2017-12-09
"HCDN1441","ACERENZA","SAMANTA MARIA CELESTE","F","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
"HCDN1441","ACERENZA","SAMANTA MARIA CELESTE","F","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN0970","ACOSTA","MARIA JULIA","F","CATAMARCA",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2011-12-09
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2009-02-23
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"SANTA FE FEDERAL",2009-02-24,2009-12-09
"HCDN0971","AGOSTO","WALTER ALFREDO","M","SANTA FE",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"PERONISMO FEDERAL",2009-12-10,2011-12-09
"HCDN0845","AGUAD","OSCAR RAUL","M","CORDOBA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"UCR",2009-12-10,2013-12-09
"HCDN0845","AGUAD","OSCAR RAUL","M","CORDOBA",2013-12-10,2017-12-09,2013-12-04,2015-12-09,"UCR",2013-12-10,2015-12-09
"HCDN1232","AGUILAR","LINO WALTER","M","SAN LUIS",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"FRENTE PERONISTA",2011-12-10,2013-09-16
"HCDN1232","AGUILAR","LINO WALTER","M","SAN LUIS",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"COMPROMISO FEDERAL",2013-09-17,2015-12-09
"HCDN0972","AGUIRRE DE SORIA","HILDA CLELIA","F","LA RIOJA",2007-12-10,2011-12-09,2007-12-05,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2011-12-09
"HCDN2349","AICEGA","JUAN","M","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"PRO",2017-12-10,2021-12-09
"HCDN1101","ALBARRACIN","JORGE LUIS","M","MENDOZA",2009-12-10,2013-12-09,2011-12-06,2013-12-09,"UCR",2011-12-10,2013-12-09
"HCDN1572","ALBORNOZ","GABRIELA ROMINA","F","JUJUY",2013-12-10,2017-12-09,2016-03-01,2017-12-09,"UCR",2016-03-01,2017-12-09
"HCDN1137","ALBRIEU","OSCAR EDMUNDO NICOLAS","M","RIO NEGRO",2009-12-10,2013-12-09,2009-12-03,2013-12-01,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2013-12-01
"HCDN0163","ALBRISI","CESAR ALFREDO","M","CORDOBA",2007-12-10,2011-12-09,2007-12-05,2010-04-14,"FRENTE JUSTICIA UNION Y LIBERTAD - FREJULI",2007-12-10,2009-12-09
"HCDN0163","ALBRISI","CESAR ALFREDO","M","CORDOBA",2007-12-10,2011-12-09,2007-12-05,2010-04-14,"PERONISMO FEDERAL",2009-12-10,2010-04-14
"HCDN1068","ALCUAZ","HORACIO ALBERTO","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"COALICION CIVICA - ARI - GEN - UPT",2007-12-10,2009-11-11
"HCDN1068","ALCUAZ","HORACIO ALBERTO","M","BUENOS AIRES",2007-12-10,2011-12-09,2007-12-19,2011-12-09,"GEN",2009-11-12,2011-12-09
"HCDN1338","ALEGRE","GILBERTO OSCAR","M","BUENOS AIRES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"FRENTE RENOVADOR",2013-12-10,2015-12-09
"HCDN1338","ALEGRE","GILBERTO OSCAR","M","BUENOS AIRES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"FEDERAL UNIDOS POR UNA NUEVA ARGENTINA",2015-12-10,2017-12-09
"HCDN0973","ALFARO","GERMAN ENRIQUE","M","TUCUMAN",2007-12-10,2011-12-09,2007-12-05,2011-10-21,"FRENTE PARA LA VICTORIA - PJ",2007-12-10,2011-10-21
"HCDN1138","ALFONSIN","RICARDO LUIS","M","BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"UCR",2009-12-10,2013-12-09
"HCDN1138","ALFONSIN","RICARDO LUIS","M","BUENOS AIRES",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"UCR",2013-12-10,2017-12-09
"HCDN1222","ALIZEGUI","ANTONIO ANIBAL","M","ENTRE RIOS",2007-12-10,2011-12-09,2009-12-03,2011-12-09,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2011-12-09
"HCDN2350","ALLENDE","WALBERTO ENRIQUE","M","SAN JUAN",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"TODOS JUNTOS POR SAN JUAN",2017-12-10,2021-12-09
"HCDN0733","ALONSO","GUMERSINDO FEDERICO","M","CORDOBA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE CIVICO - CORDOBA",2009-12-10,2013-12-09
"HCDN1568","ALONSO","HORACIO FERNANDO","M","BUENOS AIRES",2013-12-10,2017-12-09,2016-03-01,2017-12-09,"FEDERAL UNIDOS POR UNA NUEVA ARGENTINA",2016-03-01,2017-12-09
"HCDN1139","ALONSO","LAURA","F","CIUDAD DE BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"PRO",2009-12-10,2013-12-09
"HCDN1139","ALONSO","LAURA","F","CIUDAD DE BUENOS AIRES",2013-12-10,2017-12-09,2013-12-04,2015-12-22,"UNION PRO",2013-12-10,2015-12-22
"HCDN2351","ALONSO","LAURA V.","F","BUENOS AIRES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FRENTE PARA LA VICTORIA - PJ",2017-12-10,2021-12-09
"HCDN1233","ALONSO","MARIA LUZ","F","LA PAMPA",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"FRENTE PARA LA VICTORIA - PJ",2011-12-10,2015-12-09
"HCDN2352","ALUME SBODIO","KARIM AUGUSTO","M","SAN LUIS",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"COMPROMISO FEDERAL",2017-12-10,2018-02-05
"HCDN2352","ALUME SBODIO","KARIM AUGUSTO","M","SAN LUIS",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"UNIDAD JUSTICIALISTA",2018-02-06,2021-12-09
"HCDN1140","ALVAREZ","ELSA MARIA","F","SANTA CRUZ",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"UCR",2009-12-10,2013-12-09
"HCDN1141","ALVAREZ","JORGE MARIO","M","SANTA FE",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"UCR",2009-12-10,2013-12-09
