"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"JUSTO,  JUAN BAUTISTA",3020,"1924-05-30","1928-04-30","1924-05-30","1928-01-08","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","MOLINARI,  DIEGO LUIS","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE VICENTE GALLO ( 1919/1928 ). FALLECE EN 1928."
"MOLINARI,  DIEGO LUIS",3021,"1928-06-22","1937-04-30","1928-06-22","1930-09-06","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"PALACIOS,  ALFREDO LORENZO",3022,"1935-05-02","1944-04-30","1935-05-02","1943-06-05","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"ALVEAR,  DIEGO DE",3011,"1883-04-30","1892-04-30","1883-04-30","1887-05-12","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","ROCA,  JULIO ARGENTINO","RENUNCIA EN 1887. LO REEMPLAZA JULIO A. ROCA (1888/1890 ) Y LEANDRO N. ALEM ( 1891/1892 )"
"AMOEDO, JULIO A.",2,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","CATAMARCA","CONSERVADOR POPULAR-CATAMARCA","VILLARROEL, PEDRO GUILLERMO",NA
"BENITEZ, ALFREDO L.",3,"1983-12-21","1992-12-09","1983-12-21","1992-12-09","JUJUY","JUSTICIALISTA","CABANA, FERNANDO V.",NA
"BRASESCO, LUIS A. J.",5,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","ALASINO, AUGUSTO",NA
"BRAVO HERRERA, HORACIO F.",7,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","SALTA","JUSTICIALISTA","ROMERO, JUAN CARLOS",NA
"CENDOYA, JORGE JOAQUIN",9,"1986-11-28","1995-12-09","1992-04-22","1995-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","ANGELOZ, EDUARDO CESAR","COMPLETA EL PERIODO DE EDGARDO  GROSSO ( 1987-1995 )."
"GASS, ADOLFO",13,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","BUENOS AIRES","UNIÓN CÍVICA RADICAL","CAFIERO, ANTONIO FRANCISCO",NA
"GURDULICH de CORREA, LILIANA",15,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","SANTA FE","JUSTICIALISTA","MASSAT, JORGE JOSE",NA
"JIMENEZ MONTILLA, ARTURO I.",16,"1983-11-29","1992-12-09","1985-06-19","1992-12-09","TUCUMÁN","JUSTICIALISTA","MIRANDA, JULIO ANTONIO","COMPLETA EL PERIODO DE RAMON ARAUJO (1983/1992)."
"MAC KARTHY, CESAR",22,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","CHUBUT","JUSTICIALISTA","ALTUNA, JUAN CARLOS","REEMPLAZA A CORCHUELO BLASCO POR EXPIRACION DE MANDATO."
"MALHARRO de TORRES, MARGARITA",23,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","MENDOZA","UNIÓN CÍVICA RADICAL","BORDON, JOSE OCTAVIO",NA
"MENEM, EDUARDO",27,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","LA RIOJA","JUSTICIALISTA","MENEM, EDUARDO",NA
"NIEVES, ROGELIO J.",29,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","FORMOSA","JUSTICIALISTA","BRANDA, RICARDO ALBERTO",NA
"OYARZUN, JUAN CARLOS",31,"1992-02-26","1998-12-09","1992-02-26","1998-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","MOVIMIENTO POPULAR FUEGUINO","ROMERO, MARCELO JUAN","LO REEMPLAZA MARCELO JUAN ROMERO."
"RODRIGUEZ SAA, ALBERTO",34,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","SAN LUIS","JUSTICIALISTA","RODRIGUEZ SAA, ALBERTO",NA
"SANCHEZ, LIBARDO NICOLAS",40,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","LA RIOJA","JUSTICIALISTA","SANCHEZ, LIBARDO NICOLAS",NA
"SOLANA, JORGE D.",42,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SOLANA, JORGE D.",NA
"VELAZQUEZ, HECTOR",47,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","MISIONES","UNIÓN CÍVICA RADICAL","HUMADA, JULIO CESAR",NA
"CASTRO, JORGE A.",52,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","JUAREZ, CARLOS ARTURO",NA
"CELLI, FELIPE",53,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","CARRIZO, MACARIO",NA
"DE LA RUA, FERNANDO",55,"1992-12-02","2001-12-09","1992-12-02","1996-08-06","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","GARCIA ARECHA, JOSE MARIA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. RENUNCIA EN 1996 PARA SER JEFE DE GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES. LO REEMPLAZA GARCIA ARECHA."
"MARINI, CELESTINO A.",62,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SANTA FE","JUSTICIALISTA","RUBEO, LUIS",NA
"MAUHUM, FERNANDO",64,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","STORANI, CONRADO HUGO",NA
"SALIM, LUIS",69,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","FIGUEROA, JOSE OSCAR",NA
