Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
95429,Leaving Microsoft to Change the World: An Entrepreneur's Odyssey to Educate the World's Children,John Wood,"Wood, John",,"=""006112107X""","=""9780061121074""",4,4.10,Harper Business,Hardcover,272,2006,2006,,2023/08/06,,,read,,,,1,0
18293427,The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,"=""1616203218""","=""9781616203214""",0,4.02,Algonquin Books,Hardcover,260,2014,2014,,2023/07/30,to-read,to-read (#40),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",5,4.22,Knopf,Hardcover,401,2022,2022,,2023/06/02,,,read,,,,1,0
60318890,"The Winners (Beartown, #3)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",5,4.47,Atria Books,Kindle Edition,671,2022,2022,,2023/07/24,,,read,,,,1,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",0,4.36,Abrams Press,Hardcover,318,2019,2019,,2023/07/23,to-read,to-read (#39),to-read,,,,0,0
18007533,One More Thing: Stories and Other Stories,B.J. Novak,"Novak, B.J.",,"=""0385351836""","=""9780385351836""",0,3.67,Knopf,Hardcover,288,2014,2014,,2023/07/14,to-read,to-read (#38),to-read,,,,0,0
20821299,The Book with No Pictures,B.J. Novak,"Novak, B.J.",,"=""0803741715""","=""9780803741713""",0,4.34,Rocky Pond Books,Hardcover,48,2014,2014,,2023/07/14,to-read,to-read (#37),to-read,,,,0,0
58554044,"Really Good, Actually",Monica Heisey,"Heisey, Monica",,"=""""","=""""",0,3.18,William Morrow,Kindle Edition,377,2023,2023,,2023/07/14,to-read,to-read (#36),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",4,4.16,Penguin Press,Hardcover,406,2023,2023,,2023/07/13,,,read,,,,1,0
23835643,Papeles en el viento (Spanish Edition),Eduardo Sacheri,"Sacheri, Eduardo",,"=""""","=""""",3,4.16,ALFAGUARA,Kindle Edition,424,2011,2011,2023/07/04,2023/07/01,,,read,,,,1,0
